Price,Close,High,Low,Open,Volume,RSI_14,MA_9,MA_21,MA_51,MACD,MACD_Signal,MACD_Hist
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,,,,,,,
Date,,,,,,,,,,,,
2016-09-23,232.77243041992188,236.65881527790242,232.08659533556934,236.65881527790242,12730223,52.27883300845325,233.11280992296008,233.62809172130767,222.12450573491114,3.0759103846924063,4.396429067908425,-1.3205186832160187
2016-09-26,230.12054443359375,232.68099840662774,229.20609758274958,232.22377498120565,8800173,47.377788852599075,233.00104268391928,233.50834365118118,222.5718676997166,2.57071678125709,4.031286610578158,-1.4605698293210683
2016-09-27,227.69725036621094,232.17803404910535,227.05714040484756,231.49219895764085,11345387,39.606719804812926,232.13232252332898,233.45826575869606,222.95378352146523,1.9523027016090566,3.6154898287843382,-1.6631871271752816
2016-09-28,232.0408935546875,233.91551243121842,226.82854917979446,228.61171778786945,17277539,37.31779569766928,231.9037119547526,233.76961408342635,223.34376825070848,1.7920432331409302,3.2508005096556567,-1.4587572765147265
2016-09-29,226.0969696044922,234.7842141393463,222.66779413020768,233.18393225134685,27870695,31.29430100928934,231.18739488389758,233.6912325904483,223.6261707380706,1.171902499902302,2.835020907704986,-1.663118407802684
2016-09-30,229.7547607421875,230.89781925334265,224.77102842422119,225.73120036426172,14826293,38.557434593980005,230.7403310139974,233.64768691289993,224.02960354674096,0.9644718452448444,2.460911095212958,-1.4964392499681134
2016-10-03,233.45828247070312,234.6927773402435,231.0349899578693,231.35505193516767,9314647,52.6100250073526,230.82669745551215,233.76961481003534,224.49041299258963,1.0864014491954492,2.1860091660094563,-1.099607716814007
2016-10-04,237.52755737304688,239.5850626823418,232.08660167913717,233.91549528739932,21532806,52.268088091552684,231.70050218370227,234.10708981468565,225.00322080125997,1.4941642200081446,2.047640176809194,-0.5534759568010492
2016-10-05,238.533447265625,242.23694554830155,237.3446497119837,239.58505547741083,20868556,55.04680855201518,232.00023735894098,234.3792470296224,225.63436889648438,1.8768508926168295,2.0134823199707212,-0.13663142735389178
2016-10-06,234.82992553710938,239.5850600286019,233.77831730534703,238.9906751938407,11081154,52.48013862899264,232.22884792751736,234.2355477469308,226.23144860361137,1.859850388338998,1.9827559336443767,-0.12290554530537867
2016-10-07,236.56739807128906,237.66471748610198,233.41254545196094,235.24143905001745,11934100,52.99312438142686,232.9451649983724,233.88283357166108,226.7478422277114,1.9639378263084382,1.978992312177189,-0.015054485868750911
2016-10-10,234.6470489501953,238.0304852867077,234.14408647798737,237.16177759113197,9399844,52.0732885489619,233.71736484103732,233.37117876325334,227.28395918303846,1.869916512193754,1.9571771521805021,-0.08726063998674816
2016-10-13,228.2916259765625,233.5039836238412,224.8167394828435,233.13819655115756,18050638,48.64863320963405,233.30077955457898,232.74195207868303,227.64973748898973,1.2679581911338005,1.819333359971162,-0.5513751688373616
2016-10-14,230.53204345703125,231.85798852403562,227.78870306184254,229.52614639745508,12133951,44.33595805999447,233.79356553819446,232.7136470249721,228.02806749530868,0.9606115199004819,1.6475889919570261,-0.6869774720565442
2016-10-17,231.53793334960938,234.50989948485596,230.44059995004133,232.04088189413883,16865537,48.621052638755465,233.991695827908,232.52422805059524,228.45480915144378,0.7891076347820558,1.4758927205220322,-0.6867850857399764
2016-10-18,234.92137145996094,235.65294562567493,232.0865948229092,233.09247790572738,20218355,55.276347189403936,234.15426127115884,232.56341770717077,228.98554663564644,0.9156497092639597,1.3638441182704177,-0.448194409006458
2016-10-19,233.54971313476562,235.92728045714713,233.04677854453405,235.92728045714713,9546481,56.58435090719005,233.71227857801648,232.61131722586495,229.47594077914368,0.894937568352276,1.2700628082867895,-0.3751252399345135
2016-10-20,237.93907165527344,238.57916767967964,233.4582739042709,233.82404704774615,14179531,56.628964374266225,233.646236843533,232.80944751557848,230.07750417671951,1.2186596468425535,1.2597821759979424,-0.04112252915538894
2016-10-21,236.384521484375,237.52758009890292,234.18985452582226,237.52758009890292,8833390,62.82783318536976,233.8189697265625,232.98580641973587,230.66651647231157,1.3343904964502542,1.2747038400884048,0.059686656361849444
2016-10-24,240.4537811279297,242.23693552455342,237.1160282059805,237.1160282059805,14483254,63.2053983912553,234.25079006618924,233.4996381487165,231.20801230037912,1.7344693901136168,1.3666569500934471,0.36781244002016966
2016-10-25,239.08213806152344,241.9169009470481,238.44201410928713,241.41396634650738,9079178,57.365281092291376,234.7435777452257,233.6542242140997,231.71364817899817,1.918736661730719,1.4770728924209016,0.44166376930981754
2016-10-26,236.61309814453125,242.1912289381675,234.82991580742856,238.12192971077948,15020687,48.74998435655377,235.66818576388889,233.83711315336683,232.13680372051164,1.8442792126481038,1.5505141564663423,0.2937650561817615
2016-10-27,233.54971313476562,236.01873072083532,232.5438300009513,235.92728045714713,10938008,43.5503019340366,236.00348239474826,234.00040690104166,232.56533843395758,1.520553584096092,1.5445220419922925,-0.0239684578962005
2016-10-28,235.92727661132812,236.6588228955042,232.26948937704395,234.00693273198854,11430184,51.47060748137509,236.4911872016059,234.39231291271392,233.1184892841414,1.4392573309780232,1.5234690997894387,-0.08421176881141546
2016-11-01,236.7960205078125,238.5791751027481,234.5556145859285,235.01283800617398,10000632,50.313690891679386,236.69948154025607,234.6187475295294,233.3990993125766,1.4284633998389893,1.5044679597993489,-0.0760045599603596
2016-11-02,229.57188415527344,234.09839326563792,229.1146607309265,232.36094983446014,13716294,43.92115851928965,236.25750054253473,234.78421965099517,233.47619987936582,0.827443449600537,1.3690630577595866,-0.5416196081590496
2016-11-03,224.63385009765625,231.17215306809874,223.9023038227501,229.66330748106552,12902390,45.46486822320213,234.77914259168836,234.54036676316034,233.46544153550093,-0.04678792853977143,1.0858928604997151,-1.1326807890394865
2016-11-04,222.07342529296875,226.23414733880253,219.74158301181188,225.18253903227676,12657669,39.595059781894626,233.18902079264322,233.99823070707777,233.3659287994983,-0.9354442584704827,0.6816254367056755,-1.6170696951761583
2016-11-07,231.08071899414062,232.1780524367183,224.49670438532291,226.78282153792293,11224419,49.53008409054554,232.14756944444446,233.6912384033203,233.26193267223883,-0.9024940877133645,0.3648015318218675,-1.2672956195352318
2016-11-08,231.0349884033203,232.3609474831903,227.37720104555802,231.9951603754032,9367228,45.711418459061996,231.2534417046441,233.33416893368675,233.22338238884421,-0.8700416182942945,0.11783290179863506,-0.9878745200929295
2016-11-09,237.75616455078125,238.7163225141712,214.8949948824369,214.8949948824369,31761606,54.15162183034364,231.38044908311633,233.4735136486235,233.31751655129824,-0.2985386903959011,0.03455858335972784,-0.3330972737556289
2016-11-10,257.2338562011719,259.88577406636523,242.55699722098007,244.1572790122589,50227559,64.67313621442106,234.01202053493924,234.45763070242745,233.7998420864928,1.7063981362267953,0.36892649393314136,1.337471642293654
2016-11-11,249.64398193359375,264.0922305311721,247.3578648829198,254.9020511501438,57937113,59.2356660819703,235.53609890407986,235.17177036830358,234.20954984777114,2.652311399144594,0.825603474975432,1.826707924169162
2016-11-15,254.3991241455078,259.19997009503993,247.54077278903333,251.61004451651965,48658808,59.62147528122583,237.49199930826822,236.41498456682478,234.77614877738205,3.7425133468352385,1.4089854493473934,2.333527897487845
2016-11-16,253.4846649169922,260.43443829340845,252.52447902996238,259.70289201379677,27532708,59.999991524389415,240.1489749484592,237.50796654110863,235.28088767855775,4.481062132673259,2.0234007860125667,2.457661346660692
2016-11-17,253.71328735351562,258.0569098509258,252.02155511528895,254.21622195369247,19500760,62.254286186665084,243.38002353244357,238.56393577938988,235.73273213704428,5.026868673406682,2.6240943634913902,2.4027743099152916
2016-11-18,252.20443725585938,256.04512529801116,251.33572946762067,254.35339299595134,13389671,63.67292680951919,246.72791375054254,239.3869389125279,236.15050940420113,5.2768445174912415,3.1546443942913607,2.122200123199881
2016-11-21,235.33287048339844,253.85041668221982,233.96120039459683,253.43890449289958,26002028,49.64067611002994,247.20037502712674,239.4718511672247,236.246436623966,4.066679587076379,3.337051432848365,0.7296281542280143
